"﻿Für inaktive Angebote und Kampagnen sind einige Angaben nicht verfügbar."
""
"Startdatum";"Enddatum";"Name der Kampagne";"Kampagnen-ID";"Startdatum der Kampagne";"Enddatum der Kampagne";"Status  ";"Artikelnr.";"Titel";"Angebotsformat";"Preis (aktueller oder zuletzt angegebener)";"Verfügbare Stückzahl";"Angebotsstart";"Angebotsende";"Anzeigen-Impressions (über Platzierungen bei eBay)";"Anzeigen-Klicks insgesamt";"Verkauft mit Anzeigen - Gesamtstückzahl";"Organisch verkauft - Stückzahl";"Verkauft - Gesamtstückzahl";"Anzeigen-Konversionsrate (Verkauft mit Anzeigen - Stückzahl/Anzeigen-Klicks)";"Anzeigen-Verteilung (Verkauft mit Anzeigen - Stückzahl/Verkauft - Gesamtstückzahl)";"Gesamtumsatz mit Anzeigen";"Anzeigengebühren (ohne MwSt.)";"Rentabilität der Anzeigenkosten (Umsatz/Anzeigengebühren (ohne MwSt.))";"Durchschn. Kosten pro Verkauf";"Anzeigen-Klicks (über Platzierungen bei eBay)";"Anzeigen-Klicks (über externe Platzierungen)";"Mit Anzeigen verkaufte Stückzahl (über Platzierungen bei eBay)";"Mit Anzeigen verkaufte Stückzahl (über externe Platzierungen)";"Anzeigen-Umsatz (über Platzierungen bei eBay)";"Anzeigen-Umsatz (über externe Platzierungen)";"Anzeigengebühren ohne MwSt. (über Platzierungen bei eBay)";"Anzeigengebühren ohne MwSt. (über externe Platzierungen)";"Anzeigen-Konversionsrate (über Platzierungen bei eBay)";"Anzeigen-Konversionsrate (über externe Platzierungen)";"Organische Klicks";"Organische Impressions"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284578737193";"";"";"";"";"";"";"3855";"21";"1";"0";"1";"4,76%";"100,00%";"14,90 €";"1,43 €";"10,42";"1,43 €";"7";"14";"0";"1";"0,00 €";"14,90 €";"0,00 €";"1,43 €";"0,00%";"7,14%";"20";"1714"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674329195";"";"";"";"";"";"";"24081";"48";"7";"0";"7";"14,58%";"100,00%";"112,00 €";"7,84 €";"14,29";"1,12 €";"41";"7";"6";"1";"96,00 €";"16,00 €";"6,72 €";"1,12 €";"14,63%";"14,29%";"14";"4789"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"286088574259";"";"";"";"";"";"";"40803";"189";"15";"0";"15";"7,94%";"100,00%";"518,49 €";"61,20 €";"8,47";"4,08 €";"184";"5";"15";"0";"518,49 €";"0,00 €";"61,20 €";"0,00 €";"8,15%";"0,00%";"164";"24057"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284761847785";"";"";"";"";"";"";"1596";"5";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"5";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"51";"901"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286169543587";"";"";"";"";"";"";"39502";"31";"1";"1";"2";"3,23%";"50,00%";"13,29 €";"1,20 €";"11,07";"1,20 €";"28";"3";"1";"0";"13,29 €";"0,00 €";"1,20 €";"0,00 €";"3,57%";"0,00%";"77";"23654"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284943690554";"";"";"";"";"";"";"14125";"35";"1";"0";"1";"2,86%";"100,00%";"15,99 €";"1,12 €";"14,28";"1,12 €";"35";"0";"1";"0";"15,99 €";"0,00 €";"1,12 €";"0,00 €";"2,86%";"0,00%";"40";"9610"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286125209124";"";"";"";"";"";"";"178";"2";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"2";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"1";"53"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285884180256";"";"";"";"";"";"";"94036";"694";"46";"1";"47";"6,63%";"97,87%";"459,54 €";"36,80 €";"12,49";"0,80 €";"365";"329";"35";"11";"349,65 €";"109,89 €";"28,00 €";"8,80 €";"9,59%";"3,34%";"137";"53218"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284918622458";"";"";"";"";"";"";"13716";"35";"5";"0";"5";"14,29%";"100,00%";"51,45 €";"5,39 €";"9,55";"1,08 €";"35";"0";"5";"0";"51,45 €";"0,00 €";"5,39 €";"0,00 €";"14,29%";"0,00%";"18";"3906"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674181487";"";"";"";"";"";"";"22526";"56";"3";"2";"5";"5,36%";"60,00%";"86,26 €";"6,91 €";"12,48";"2,30 €";"52";"4";"3";"0";"86,26 €";"0,00 €";"6,91 €";"0,00 €";"5,77%";"0,00%";"33";"8279"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285884179226";"";"";"";"";"";"";"124862";"352";"19";"4";"23";"5,40%";"82,61%";"391,00 €";"50,92 €";"7,68";"2,68 €";"266";"86";"14";"5";"259,00 €";"132,00 €";"33,74 €";"17,18 €";"5,26%";"5,81%";"124";"41805"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286182209053";"";"";"";"";"";"";"1106";"13";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"10";"3";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"12";"516"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285768457036";"";"";"";"";"";"";"66936";"88";"11";"4";"15";"12,50%";"73,33%";"328,50 €";"16,43 €";"19,99";"1,49 €";"84";"4";"11";"0";"328,50 €";"0,00 €";"16,43 €";"0,00 €";"13,10%";"0,00%";"84";"17058"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 29.10.2024 14:04:27";"36378652015";"29. Okt 2024";"";"Beendet/Entfernt";"286125209124";"";"";"";"";"";"";"14383";"48";"3";"0";"3";"6,25%";"100,00%";"231,00 €";"20,79 €";"11,11";"6,93 €";"41";"7";"3";"0";"231,00 €";"0,00 €";"20,79 €";"0,00 €";"7,32%";"0,00%";"41";"2776"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286288593925";"";"";"";"";"";"";"3283";"4";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"4";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"8";"294"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285671426893";"";"";"";"";"";"";"7682";"18";"2";"0";"2";"11,11%";"100,00%";"24,38 €";"1,95 €";"12,50";"0,97 €";"16";"2";"2";"0";"24,38 €";"0,00 €";"1,95 €";"0,00 €";"12,50%";"0,00%";"27";"3668"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285884173147";"";"";"";"";"";"";"64228";"404";"22";"5";"27";"5,45%";"81,48%";"401,40 €";"32,20 €";"12,47";"1,46 €";"156";"248";"10";"12";"185,00 €";"216,40 €";"14,84 €";"17,36 €";"6,41%";"4,84%";"127";"33184"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285425434909";"";"";"";"";"";"";"29931";"174";"8";"3";"11";"4,60%";"72,73%";"555,80 €";"55,58 €";"10,00";"6,95 €";"120";"54";"4";"4";"280,00 €";"275,80 €";"28,00 €";"27,58 €";"3,33%";"7,41%";"127";"8248"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285884178071";"";"";"";"";"";"";"272023";"498";"11";"9";"20";"2,21%";"55,00%";"115,39 €";"6,93 €";"16,65";"0,63 €";"474";"24";"10";"1";"104,90 €";"10,49 €";"6,30 €";"0,63 €";"2,11%";"4,17%";"361";"154705"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285689810131";"";"";"";"";"";"";"8086";"15";"0";"1";"1";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"15";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"11";"3276"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286301043600";"";"";"";"";"";"";"1126";"1";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"1";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"3";"139"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286217994235";"";"";"";"";"";"";"18226";"15";"1";"1";"2";"6,67%";"50,00%";"2,99 €";"0,38 €";"7,87";"0,38 €";"15";"0";"1";"0";"2,99 €";"0,00 €";"0,38 €";"0,00 €";"6,67%";"0,00%";"55";"5316"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285201304111";"";"";"";"";"";"";"10679";"4";"2";"1";"3";"50,00%";"66,67%";"15,98 €";"1,12 €";"14,27";"0,56 €";"4";"0";"2";"0";"15,98 €";"0,00 €";"1,12 €";"0,00 €";"50,00%";"0,00%";"37";"2780"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674489616";"";"";"";"";"";"";"3749";"17";"9";"2";"11";"52,94%";"81,82%";"107,91 €";"10,80 €";"9,99";"1,20 €";"17";"0";"9";"0";"107,91 €";"0,00 €";"10,80 €";"0,00 €";"52,94%";"0,00%";"22";"1228"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285379664414";"";"";"";"";"";"";"17963";"33";"10";"0";"10";"30,30%";"100,00%";"85,00 €";"5,97 €";"14,24";"0,60 €";"33";"0";"10";"0";"85,00 €";"0,00 €";"5,97 €";"0,00 €";"30,30%";"0,00%";"34";"7253"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284790451903";"";"";"";"";"";"";"29076";"75";"13";"9";"22";"17,33%";"59,09%";"77,87 €";"5,46 €";"14,26";"0,42 €";"67";"8";"11";"2";"65,89 €";"11,98 €";"4,62 €";"0,84 €";"16,42%";"25,00%";"62";"26375"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285266342102";"";"";"";"";"";"";"314765";"1975";"2";"1";"3";"0,10%";"66,67%";"1.093,50 €";"54,68 €";"20,00";"27,34 €";"1849";"126";"2";"0";"1.093,50 €";"0,00 €";"54,68 €";"0,00 €";"0,11%";"0,00%";"1898";"238002"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285425434909";"";"";"";"";"";"";"0";"0";"0";"";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";""
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284919714345";"";"";"";"";"";"";"8430";"90";"2";"1";"3";"2,22%";"66,67%";"37,88 €";"3,97 €";"9,54";"1,99 €";"87";"3";"2";"0";"37,88 €";"0,00 €";"3,97 €";"0,00 €";"2,30%";"0,00%";"68";"4558"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"286088542686";"";"";"";"";"";"";"60658";"134";"6";"4";"10";"4,48%";"60,00%";"213,57 €";"19,23 €";"11,11";"3,21 €";"134";"0";"6";"0";"213,57 €";"0,00 €";"19,23 €";"0,00 €";"4,48%";"0,00%";"158";"19667"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284496153048";"";"";"";"";"";"";"3626";"6";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"4";"2";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"4";"2513"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285895709623";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"184";"26"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285689784592";"";"";"";"";"";"";"57163";"143";"21";"4";"25";"14,69%";"84,00%";"220,29 €";"22,05 €";"9,99";"1,05 €";"143";"0";"21";"0";"220,29 €";"0,00 €";"22,05 €";"0,00 €";"14,69%";"0,00%";"95";"21779"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286176618176";"";"";"";"";"";"";"25434";"25";"3";"0";"3";"12,00%";"100,00%";"69,57 €";"8,15 €";"8,54";"2,72 €";"21";"4";"3";"0";"69,57 €";"0,00 €";"8,15 €";"0,00 €";"14,29%";"0,00%";"41";"19462"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284495209590";"";"";"";"";"";"";"10563";"34";"3";"0";"3";"8,82%";"100,00%";"129,25 €";"15,50 €";"8,34";"5,17 €";"31";"3";"3";"0";"129,25 €";"0,00 €";"15,50 €";"0,00 €";"9,68%";"0,00%";"29";"2096"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"286088495693";"";"";"";"";"";"";"46303";"200";"12";"4";"16";"6,00%";"75,00%";"425,88 €";"38,34 €";"11,11";"3,20 €";"198";"2";"12";"0";"425,88 €";"0,00 €";"38,34 €";"0,00 €";"6,06%";"0,00%";"186";"22982"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285689936330";"";"";"";"";"";"";"33874";"102";"3";"2";"5";"2,94%";"60,00%";"96,00 €";"6,72 €";"14,29";"2,24 €";"94";"8";"3";"0";"96,00 €";"0,00 €";"6,72 €";"0,00 €";"3,19%";"0,00%";"65";"17773"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285657841240";"";"";"";"";"";"";"55672";"142";"14";"5";"19";"9,86%";"73,68%";"165,20 €";"8,26 €";"20,00";"0,59 €";"105";"37";"9";"5";"106,20 €";"59,00 €";"5,31 €";"2,95 €";"8,57%";"13,51%";"118";"26894"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285919668484";"";"";"";"";"";"";"8227";"19";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"18";"1";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"15";"1700"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284943404820";"";"";"";"";"";"";"207165";"391";"2";"0";"2";"0,51%";"100,00%";"223,98 €";"39,20 €";"5,71";"19,60 €";"384";"7";"2";"0";"223,98 €";"0,00 €";"39,20 €";"0,00 €";"0,52%";"0,00%";"81";"67396"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284495243955";"";"";"";"";"";"";"25415";"9";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"9";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"20";"5904"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285192901905";"";"";"";"";"";"";"0";"0";"0";"";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"0";""
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284922340626";"";"";"";"";"";"";"11885";"57";"6";"0";"6";"10,53%";"100,00%";"65,84 €";"6,89 €";"9,56";"1,15 €";"57";"0";"6";"0";"65,84 €";"0,00 €";"6,89 €";"0,00 €";"10,53%";"0,00%";"25";"5027"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285332127750";"";"";"";"";"";"";"115009";"234";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"223";"11";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"97";"34854"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285672900854";"";"";"";"";"";"";"54868";"102";"0";"5";"5";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"80";"22";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"110";"22916"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285884546507";"";"";"";"";"";"";"79960";"107";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"104";"3";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"148";"27857"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286276114961";"";"";"";"";"";"";"5567";"7";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"7";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"15";"3340"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284365532819";"";"";"";"";"";"";"12955";"8";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"8";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"4";"1259"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284918624047";"";"";"";"";"";"";"5907";"3";"0";"2";"2";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"3";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"9";"1709"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285392461885";"";"";"";"";"";"";"422343";"791";"15";"5";"20";"1,90%";"75,00%";"207,55 €";"20,80 €";"9,98";"1,39 €";"774";"17";"15";"0";"207,55 €";"0,00 €";"20,80 €";"0,00 €";"1,94%";"0,00%";"204";"51745"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286133493494";"";"";"";"";"";"";"6007";"11";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"11";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"21";"1311"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285685462381";"";"";"";"";"";"";"15358";"201";"1";"0";"1";"0,50%";"100,00%";"329,00 €";"19,74 €";"16,67";"19,74 €";"59";"142";"1";"0";"329,00 €";"0,00 €";"19,74 €";"0,00 €";"1,69%";"0,00%";"147";"6379"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286182160668";"";"";"";"";"";"";"991";"4";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"4";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"5";"597"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285671391248";"";"";"";"";"";"";"5142";"16";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"16";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"15";"939"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674479789";"";"";"";"";"";"";"6839";"13";"0";"2";"2";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"10";"3";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"9";"1515"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285787739189";"";"";"";"";"";"";"55625";"62";"12";"2";"14";"19,35%";"85,71%";"100,64 €";"6,04 €";"16,66";"0,50 €";"60";"2";"12";"0";"100,64 €";"0,00 €";"6,04 €";"0,00 €";"20,00%";"0,00%";"30";"13480"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285963670498";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"0";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"9";"9"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285689870166";"";"";"";"";"";"";"27511";"69";"7";"1";"8";"10,14%";"87,50%";"192,50 €";"15,40 €";"12,50";"2,20 €";"67";"2";"7";"0";"192,50 €";"0,00 €";"15,40 €";"0,00 €";"10,45%";"0,00%";"80";"34561"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285787712709";"";"";"";"";"";"";"1415998";"2691";"264";"151";"415";"9,81%";"63,61%";"4.410,06 €";"397,11 €";"11,11";"1,50 €";"2645";"46";"264";"0";"4.410,06 €";"0,00 €";"397,11 €";"0,00 €";"9,98%";"0,00%";"1722";"323123"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"284929891847";"";"";"";"";"";"";"13222";"7";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"5";"2";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"5";"975"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285719366294";"";"";"";"";"";"";"4704";"9";"1";"4";"5";"11,11%";"20,00%";"11,10 €";"0,33 €";"33,64";"0,33 €";"8";"1";"1";"0";"11,10 €";"0,00 €";"0,33 €";"0,00 €";"12,50%";"0,00%";"17";"3360"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"286276113317";"";"";"";"";"";"";"7177";"20";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"18";"2";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"6";"8411"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285689830066";"";"";"";"";"";"";"6292";"8";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"8";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"19";"4096"
"19. Aug 2024";"17. Sep 2025";"Standard-Kampagne";"12546691015";"20. Okt 2021";"";"Beendet/Entfernt";"285719245521";"";"";"";"";"";"";"6796";"59";"3";"3";"6";"5,08%";"50,00%";"35,97 €";"0,72 €";"49,96";"0,24 €";"59";"0";"3";"0";"35,97 €";"0,00 €";"0,72 €";"0,00 €";"5,08%";"0,00%";"18";"9071"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"284793206646";"";"";"";"";"";"";"2576";"5";"0";"1";"1";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"";"5";"0";"0";"0";"0,00 €";"0,00 €";"0,00 €";"0,00 €";"0,00%";"0,00%";"7";"1460"
"19. Aug 2024";"17. Sep 2025";"Dynamische Kampagne 19.03.2023 16:44:34";"13622038015";"19. Mär 2023";"";"Beendet/Entfernt";"285674306655";"";"";"";"";"";"";"4044";"8";"0";"0";"0";"0,00%";"0,00%";"0,00 €";"0,00 €";"0,00";"0,00 €";"8";"0";"0";"";"0,00 €";"";"0,00 €";"";"0,00%";"0,00%";"10";"794"
